Stations,Station_velocity_E,Station_velocity_N,Station_velocity_U,Residual_STD_E,Residual_STD_N,Residual_STD_U,Root_Sum_Squares
u_0^2 = 0.0001,-5.70853384947379,0.49851802143912,-2.98271493784222,3.30549451123201,3.16032205036037,4.01089116062291,6.08285930530552
u_0^2 = 0.0005,-5.76608522908203,0.630713647528825,-2.96362033579921,3.10993786410471,3.15468386026802,3.71863188420849,5.78376753224745
u_0^2 = 0.001,-5.79879423024464,0.695724347036783,-2.9716486923758,3.04039920755919,3.16164360099349,3.6506757971723,5.70678993630301
u_0^2 = 0.005,-5.85147107606254,0.782143604999594,-3.01563248726488,2.93819160574806,3.24331967358178,3.58146665771396,5.65499742152442
u_0^2 = 0.01,-5.86090970079732,0.8234127157158,-3.03353838175913,2.93297578570432,3.22909744443114,3.56006161371074,5.63058220422865
u_0^2 = 0.05,-5.87552430999618,0.874756227795482,-3.06241480142486,2.92543569123502,3.24013129995171,3.55089820816903,5.62721093520196
u_0^2 = 0.1,-5.87958845871191,0.88651092548402,-3.06764847104903,2.92322227089192,3.24049326631753,3.5481451603575,5.62453190346149
u_0^2 = 0.5,-5.88619297120466,0.898221952275204,-3.07148632511482,2.9226690458139,3.24457927839812,3.5441322995104,5.6240699499208
u_0^2 = 1,-5.88676532671944,0.899920107705409,-3.07218443327668,2.92262953748262,3.24503908884622,3.545535022172,5.62519872492999
u_0^2 = 100,-5.88662131420189,0.901611875938123,-3.07263505632163,2.91926150392229,3.24517447987596,3.54596608482762,5.62379948147767
